actual,predicted
1251.0,883.07306
34243.0,40493.344
48.0,157.1004
3181.0,11970.962
65733.0,40110.41
428169.0,299018.53
8386.0,6562.2646
1989.0,1788.323
651.0,2195.0027
105201.0,73512.21
2562.0,1694.073
3001.0,2619.0027
1213219.0,994007.8
3956.0,7663.7295
84929.0,91935.11
719.0,2752.0066
6118.0,8777.882
6955.0,7083.9287
1482.0,878.8309
1898.0,2992.2292
247390.0,164714.39
20467.0,18846.863
14424.000000000004,8557.925
45900.0,30914.357
1186.0,3000.4636
662.0,2668.2449
323.0,-800.0207
1420.0,1498.8191
6147.0,3405.7527
3482.0,7190.995
1231.0,3416.0535
1260.0,2941.573
12658.0,16082.2295
2260.0,10624.411
1771.0,1744.2488
2925.0,7207.0615
395.0,1536.7605
3522.0,1675.4949
2230.0,4138.6123
66458.0,82301.76
1147.0,1768.8699
1119.0,2545.2644
1437.0,1818.5925
84354.0,63364.03
0.0,11237.368
1161.0,3146.4128
12701.000000000004,11472.335
10739.000000000004,5981.7764
1554.0,2471.8425
2051.0,1425.4675
23189.0,18463.652
2440.0,-643.81366
702.0,2363.2058
12398.0,5089.2803
15874.0,8558.698
1486.0,1799.7097
0.0,2121.2175
3061.0,3527.78
31754.0,23506.365
1350.0,-66.473816
2328.0,651.9871
4283.0,4424.593
10565.0,9633.452
81578.0,81445.74
42370.0,67003.46
3035.0,4021.9949
835.0,3793.9675
1053.0,4047.9636
196228.0,225530.16
126963.0,87764.65
3267.0,4325.9873
1091.0,2771.241
1139.0,3456.2292
9295.000000000004,12153.052
18269.0,19102.72
230863.0,229674.23
7600.0,7029.3857
27718.0,31008.79
16476.0,20177.232
2748.0,4460.4014
13779.0,18777.627
210.0,844.06134
833.0,729.616
1091483.0,815306.5
1282.0,-33.497253
245079.0,221260.66
134357.0,209652.25
714.0,2086.1902
5964.0,2065.737
241889.0,242309.39
10574.999999999996,31736.514
727.0,1126.1042
6551.0,10722.688
986.0,4370.202
1267.0,1337.0535
1695.0,2959.5105
36809.0,84464.26
737.0,1183.3777
17285.0,19998.97
1101.0,1645.8269
6473.0,7198.366
77582.0,75009.164
1867.0,1908.655
1575.0,5766.7256
835.0,2440.1511
5373.0,6683.292
770.0,516.5887
2485.0,1618.4988
4274.0,4953.831
7009.0,10764.286
6426.0,6169.7295
1621.0,1489.6628
44252.0,30056.252
3084.0,2636.5417
138008.0,131147.67
3852.0,3900.655
2355.0,8769.667
19324.0,23119.63
166613.0,133832.88
13583.0,15509.427
55030.0,69159.98
0.0,-1192.6614
3244.0,3298.5457
1059.0,-852.7238
41160.0,20194.314
5653.0,5032.7295
169006.0,292583.12
1120.0,1343.1785
10233.999999999996,10450.833
163.0,-1675.1262
1207.0,2169.8152
9784.0,4861.9365
2215.0,3174.0652
1388.0,3546.4167
14436.0,16780.059
1010.0,167.94806
92949.0,74170.62
1602.0,2940.0925
690.0,-164.6535
72208.0,80612.88
140141.0,109545.81
1601.0,1654.5496
15934.0,9470.483
1178.0,2619.2175
1130.0,3202.5574
1548.0,3658.0613
331663.0,451995.9
1869.0,4427.464
1666.0,3628.9675
978.0,1911.9207
15487.0,17061.227
8187.0,15551.714
22302.0,22543.115
36554.0,51764.895
1624.0,8813.374
2487.0,872.7098
1047.0,1590.9402
50850.0,95021.21
1323.0,3583.784
9189.0,2892.1785
1218.0,3045.4167
685.0,2088.909
43814.0,30261.236
2745.0,4346.339
80403.0,112965.44
509.0,886.4559
2522.0,2382.323
2329.0,10218.509
172565.00000000003,170858.8
12505.0,33526.316
271658.0,160349.05
195706.0,351096.0
19.0,873.19415
113167.0,85400.04
78939.0,100266.15
6043.0,8302.558
444224.0,408715.47
1264.0,2310.9558
883.0,1939.0378
2857.0,3163.6667
2020.0,12800.356
1162.0,1881.1433
1559.0,1031.1277
1340.0,3740.6511
1240.0,2010.3035
1099.0,-609.1965
16228.0,14065.429
87268.0,80344.32
867.0,659.4754
47036.0,24895.45
751.0,1542.0691
895.0,881.659
145.0,100.2879
146652.0,200421.52
92690.0,187682.56
3900.0,4142.417
45352.0,33864.457
1737.0,2341.991
1238.0,1518.7292
157799.0,309406.44
23704.0,22433.482
32948.0,45675.63
144920.0,50995.555
1328.0,1519.5574
20141.0,14688.56
38208.0,41727.16
6616.0,8413.257
20503.0,22895.975
1001.0,3050.9207
4899.0,2840.991
644.0,1786.2292
69.0,2071.9558
1616.0,1446.7917
1175.0,1881.2644
95713.0,58188.977
1319.0,1815.9246
5882.0,8977.3
1366.0,2249.7683
76466.0,133210.69
7841.0,7463.288
16929.0,14280.073
14209.0,18741.691
82589.0,53257.03
601.0,1644.1355
2039.0,4347.3076
2057.0,5010.1006
502.0,1202.7058
926.0,1529.2878
3308.0,3889.1667
42528.0,28712.479
280376.0,312150.4
492.0,1856.737
1632.0,2142.7292
65171.0,113107.46
613.0,989.75665
4626.0,2586.9011
30446.0,38557.16
1815.0,3729.4675
2520.0,3131.9949
185132.0,151636.25
204.0,-230.01678
2128.0,2084.2605
54238.0,51071.84
1147.0,4148.9014
1.0,38.62384
3966.0,4578.745
1001.0,103.81134
2375.0,3725.4402
242.0,2119.5652
67389.0,55751.39
1223.0,4582.952
2444.0,3291.5105
4955.0,3023.4558
24556.0,58726.645
23849.0,43181.516
9643.000000000004,9551.9795
1430.0,3570.9792
3328.0,8238.772
5080.0,3942.5144
1193.0,1457.0886
85280.0,69740.984
1214.0,3211.0496
1290.0,1020.88165
2833.0,6844.1475
4582.0,1697.1824
13625.999999999996,13620.61
815.0,2010.8972
1341.0,2045.1785
19310.0,9454.347
146024.0,164050.3
187.0,447.71368
154768.0,186078.64
407.0,-364.17694
430.0,-1815.384
5015.0,3891.5027
103.0,218.58868
1573.0,221.87384
796.0,12329.667
5441.0,4350.843
9037.0,16928.205
34909.0,83143.16
2870.0,5178.667
752.0,2235.8152
8398.0,26562.055
98469.0,65156.812
132304.0,140467.19
1808.0,2037.948
14112.0,18595.012
9483.0,4822.675
1257.0,1452.2058
95074.0,118470.81
2448.0,6150.4717
3175.0,10690.53
4087.0,5271.468
51129.0,76862.87
878.0,2928.444
1184.0,2508.7996
3228.0,6207.198
3393.0,2283.2214
45226.0,19617.33
919.0,1606.0261
